# Asymptote Network LLC Geofeed, last updated (RFC3339): 2024-12-16T16:26:28+00:00
2602:fa67::/48,US,US-CA,San Jose,
2602:fa67:1::/48,US,US-CA,San Jose,
2602:fa67:10::/48,US,US-CA,San Jose,
2602:fa67:100::/48,US,US-CA,San Jose,
2602:fa67:11::/48,HK,HK-HCW,"Hong Kong",
2602:fa67:101::/48,HK,HK-HCW,"Hong Kong",
2602:fa67:102::/48,HK,HK-HCW,"Hong Kong",
31.59.70.0/24,US,US-CA,San Jose,
38.224.163.0/24,US,US-CA,San Jose,
70.42.212.0/24,US,US-CA,San Jose,
104.234.4.0/24,US,US-CA,San Jose,
108.165.102.0/24,US,US-CA,San Jose,
70.42.213.0/24,HK,HK-HCW,"Hong Kong",
91.124.30.0/24,HK,HK-HCW,"Hong Kong",
93.114.89.0/24,HK,HK-HCW,"Hong Kong",
180.131.144.0/24,HK,HK-HCW,"Hong Kong",
204.235.243.0/24,US,US-CA,San Francisco,
209.209.48.0/24,US,US-CA,Hacienda Heights,
